SPECIES,FR,TIME,SALINITY,CF,PCNKA,GNKA,MOISTURE,HEMATOCRIT,OSMOLALITY,LACTATE,GLUCOSE
G,25.0,120,0,0.33,5.4,15.9,82.9,26.5,271,6.9,43.0
G,25.0,120,0,0.30,6.7,10.3,84.0,25.0,268,5.2,48.5
G,25.0,120,0,0.29,9.2,1.9,86.9,27.0,261,3.8,51.9
G,25.0,120,0,0.33,7.2,17.4,83.2,29.5,269,3.8,47.7
G,25.0,120,8,0.36,8.1,3.0,83.4,24.5,266,3.7,51.7
G,25.0,120,8,0.32,6.7,9.0,87.7,24.0,266,2.0,51.8
G,25.0,120,8,0.33,9.3,4.1,84.5,25.5,262,3.7,52.1
G,25.0,120,8,0.30,7.9,7.3,86.5,22.5,283,1.9,58.3
G,25.0,120,8,0.30,8.2,2.3,84.0,27.5,270,5.2,48.6
G,25.0,120,8,0.33,7.9,5.2,81.8,26.0,272,4.2,53.8
G,25.0,120,16,0.32,10.6,5.3,83.4,23.5,267,5.2,52.0
G,25.0,120,16,0.34,10.0,9.6,83.5,24.0,270,4.6,60.3
G,25.0,120,16,0.33,9.8,1.6,83.1,25.5,277,7.0,45.8
G,25.0,120,16,0.36,7.2,2.7,84.0,25.0,286,3.9,46.7
G,25.0,120,16,0.34,11.4,8.5,84.3,22.0,284,7.4,53.8
G,25.0,120,16,0.36,8.5,20.6,87.2,22.5,273,3.7,47.4
G,25.0,120,32,0.31,16.7,4.4,84.3,24.5,287,5.9,51.5
G,25.0,120,32,0.35,17.9,28.1,85.2,21.5,292,6.8,57.9
G,25.0,120,32,0.33,18.6,4.6,86.7,14.5,317,5.2,48.7
G,25.0,120,32,0.31,19.6,7.5,85.2,21.5,295,5.8,48.8
G,25.0,120,32,0.33,15.1,23.6,86.4,19.0,293,4.3,49.2
G,25.0,120,32,0.33,19.1,4.6,85.6,21.5,299,6.8,51.4
G,50.0,120,0,0.31,8.8,4.7,82.2,22.0,261,10.3,66.9
G,50.0,120,0,0.33,7.3,6.6,81.6,26.0,271,9.0,72.3
G,50.0,120,0,0.34,5.4,19.9,80.7,27.0,287,11.4,67.1
G,50.0,120,0,0.38,8.1,6.2,80.0,25.5,268,20.0,63.1
G,50.0,120,0,0.19,6.6,5.6,81.7,25.0,279,9.7,72.9
G,50.0,120,0,0.33,6.4,9.2,82.2,30.5,NA,10.5,66.6
G,50.0,120,8,0.33,8.1,2.6,82.2,20.5,273,5.2,61.6
G,50.0,120,8,0.36,7.5,6.1,81.4,18.5,273,7.3,53.8
G,50.0,120,8,0.30,7.0,7.4,81.8,26.5,285,3.6,54.3
G,50.0,120,8,0.35,7.0,6.7,81.3,21.5,267,2.7,50.3
G,50.0,120,8,0.33,6.9,2.1,86.8,21.5,274,1.9,51.9
G,50.0,120,8,0.39,7.5,6.4,83.6,17.5,265,3.5,48.7
G,50.0,120,16,0.34,8.0,1.9,83.0,20.0,282,7.2,56.4
